Zboží;Poèet SVM;Kateg.zboží
1086501;1;D0402
1080893;0,000;B0307
1097970;0,000;B0307
1080890;0,000;B0307
1080888;0,000;B0307
1080885;0,000;B0307
1080886;0,000;B0307
1074741;0,000;D0101
1074728;0,000;D0101
1074740;0,000;D0101
1009661;0,000;E0205
1009660;0,000;E0205
1060295;1;E0201
1087462;1;E0201
1087463;1;E0201
1082168;0,000;F0704
1100894;1;E0201
1099954;1;E0201
1084559;1;E0201
1100112;1;E0201
1100893;1;E0201
1100892;1;E0201
1099982;1;E0201
1100109;1;E0201
1100891;1;E0201
1100110;1;E0201
1009624;1;E0504
1099917;0,000;A0504
1113855;0,000;A0504
1113854;0,000;A0504
1103898;1;E0201
1089826;1;A0504
1089825;1;A0504
1103901;1;E0201
1100661;1;E0504
1094592;0,000;F0704
1056030;1;E0402
1084587;0,000;E0201
1070630;0,000;D0201
1062196;1;D0203
1062197;0,000;D0203
1063261;1;D0201
1063260;1;D0201
1074766;0,000;D0201
1063247;0,000;D0203
1063252;0,000;D0203
1101654;0,000;D0203
1063251;0,000;D0203
1106897;0,000;E0205
1060317;0,000;E0205
1081752;0,000;E0205
1009455;0,000;E0205
1103905;1;E0201
1103903;1;E0201
1101155;0,000;E0405
1077247;0,000;D0601
1086683;1;E0405
1042828;0,000;E0405
1026040;0,000;D0502
1078569;0,000;E0403
1078580;0,000;E0403
1078578;0,000;E0403
1057327;1;E0403
1109742;0,000;F0704
1112229;0,000;F0704
1085534;0,000;E0405
1096569;0,000;E0304
1098715;0,000;A0102
1098788;1;D0402
1011337;0,000;D0701
1011336;1;D0701
1078915;1;D0701
1078914;1;D0701
1094784;1;E1001
1094785;1;E1001
1096752;1;E1001
1109990;0,000;B0204
1109991;0,000;B0204
1110663;0,000;B0204
1110657;0,000;B0204
1110522;0,000;B0204
1109989;0,000;B0204
1107845;0,000;B0204
1107846;0,000;B0204
1063268;0,000;D0301
1009513;1;E0403
1078564;1;E0403
1009495;1;E0403
1093003;0,000;D0502
1097423;0,000;D0502
1065045;1;D0302
1023607;1;G0106
1094510;0,000;E0205
1113004;0,000;E0205
1113003;0,000;E0205
1077996;0,000;D0401
1094527;0,000;D0103
1009554;1;E0301
1086224;0,000;E0405
1108142;0,000;G0106
1093748;0,000;F0802
1093749;0,000;F0802
1103914;1;E0201
1103913;1;E0201
1103912;1;E0201
1067659;0,000;E0201
1103911;1;E0201
1103910;1;E0201
1100121;1;E0201
1101379;1;E0201
1067656;1;E0201
1112764;1;E0201
1111395;1;E0201
1111396;1;E0201
1112763;1;E0201
1100120;1;E0201
1100117;1;E0201
1100116;1;E0201
1105025;0,000;E0201
1072701;1;E0201
1072702;1;E0201
1072703;1;E0201
1081671;0,000;E0201
1081670;1;E0201
1093785;0,000;F0802
1084151;0,000;C0601
