ZboûÌ;Model;Kr·t.text zboûÌ;Stav skladu;PoËet SVM;»·stka;Blokov·no;V kontrole jakosti;KÛd GTIN
1112903;UE65KS7502UXX;UE65KS7502UXXH Curved,SUHD,2200PQI;1;0,000;84990,00;0,000;0,000;8806088244921
1098260;UE65JU7502TXX;SAMSUNG 65'LED,UHD,T2/C/S2,USB,SMART,3D,;0,000;1;64989,00;0,000;0,000;8806086692151
1073471;UE65H8000STXX;Samsung 65'LED,CURVED,1000HZ,T/C/S2,WiFi;1;1;39997,00;0,000;0,000;8806086009577
1096703;UE65H6470SSXX;SAMSUNG 65'LED,FHD,400HZ,SMART,T/C/S2,3D;0,000;0,000;39489,00;0,000;0,000;8806086252072
1108845;UE60JU6400;"Samsung 60"",LED,UHD,DVB-T/C";1;0,000;29987,00;0,000;0,000;8806086720465
1073470;UE60H6200STXX;SAMSUNG 60'LED,FHD,200HZ,SMART,T/C,3D,,P;0,000;0,000;24997,00;0,000;0,000;8806086501361
1113932;UE55KU6072UXX;UE55KU6072UXXH UHD,1300PQI,T2/C/S2;1;0,000;32990,00;0,000;0,000;8806088251400
1112902;UE55KS8002TXX;UE55KS8002TXXH SUHD,2300PQI,TWIN TUNER;0,000;0,000;64990,00;0,000;0,000;8806088241197
1112904;UE55KS7502UXX;UE55KS7502UXXH Curved,SUHD,2200PQI;0,000;0,000;54990,00;0,000;0,000;8806088244211
1112906;UE55KS7002UXX;UE55KS7002UXXH SUHD, 2100PQI, T2/C/S2;0,000;0,000;49990,00;0,000;0,000;8806088246697
1098261;UE55JU7502TXX;SAMSUNG 55'LED,UHD,T2/C/S2,USB,SMART,3D,;0,000;0,000;38387,00;0,000;0,000;8806086692137
1098265;UE55JU7002TXX;SAMSUNG 55'LED,UHD,T2/C/S2,USB,SMART,3D;0,000;1;37987,00;1,000;0,000;8806086772198
1103609;UE55JU6872UXX;"Samsung 55""LED,UHD,S2/T2,WIFI,SMART";0,000;1;31989,00;0,000;0,000;8806088008066
1099512;UE55JU6742UXX;SAMSUNG 55'LED,UHD,T2/C/S2,curved,1200HZ;2;1;35989,00;0,000;0,000;8806086854351
1098267;UE55JU6472UXX;SAMSUNG 55'LED,UHD,T2/C/S2,900HZ PQI,SMA;0,000;1;27989,00;0,000;1,000;8806086772655
1099513;UE55JU6412UXX;"SAMSUNG 55""LED,FHD,T2/C/S2,PQI1000";0,000;0,000;29989,00;0,000;0,000;8806086674942
1103607;UE55JU6072UXX;"Samsung 55""LED,UHD,T2/S2,SMART,USB";2;0,000;21989,00;0,000;0,000;8806086782586
1099510;UE55JS8502TXX;"SAMSUNG 55""LED,SUHD,3D,WIFI,S2/T/T2,USB";1;1;48989,00;0,000;0,000;8806086801287
1098270;UE55J5572SUXX;"SAMSUNG 55""LED,FHD,T2/C/S2,Wifi,USB,SMAR";3;0,000;18489,00;0,000;0,000;8806086876100
1073473;UE55HU8500STX;Samsung 55'LED,UHD,CURVED,3D,1200HZ,DUAL;1;1;39987,00;0,000;0,000;8806086068024
1073466;UE55H6470SSXX;SAMSUNG 55'LED,FHD,400HZ,SMART,T/C/S2,3D;16;1;24989,00;0,000;0,000;8806085989344
1073465;UE55H6270SSXX;SAMSUNG 55'LED,FHD,200HZ,SMART,T/C/S2,3D;0,000;0,000;18987,00;0,000;0,000;8806086040396
1113931;UE50KU6072UXX;UE50KU6072UXX UHD,1300PQI,T2/C/S2;2;0,000;24990,00;0,000;0,000;8806088251516
1098266;UE48JU7002TXX;SAMSUNG 48'LED,UHD,T2/C/S2,USB,SMART,3D;0,000;1;29969,00;0,000;0,000;8806086772174
1099514;UE48JU6742UXX;SAMSUNG 48'LED,UHD,T2/C/S2,curved,1200HZ;4;1;25989,00;0,000;0,000;8806086854474
1103606;UE48JU6072UXX;"Samsung 48""LED,UHD,T2/S2,SMART,USB";2;1;14989,00;0,000;0,000;8806086782562
1102754;UE48J6272SUXX;SAMSUNG 48'LED,FHD,400HZ,SMART,DVB-T/C/S;1;0,000;15989,00;2,000;0,000;8806088015293
1098272;UE48J5572SUXX;SAMSUNG 48'LED,FHD,T2/C/S2,USB,400HZ PQI;13;1;14389,00;0,000;0,000;8806086895613
1099518;UE48J5100AWXB;"SAMSUNG 48""LED,FHD,USB,T/C,HDMI";0,000;0,000;11888,00;0,000;0,000;8806086979344
1073459;UE48H6470SSXX;SAMSUNG 48'LED,FHD,400HZ,SMART,T/C/S2,3D;1;1;17989,00;0,000;0,000;8806085989320
1098273;UE43J5572SUXX;"SAMSUNG 43""LED,FHD,T2/C/S2,WIFI,400HZ,US";3;0,000;11379,00;0,000;0,000;8806086876063
1098255;UE40JU6572UXX;SAMSUNG 40'LED,UDH,curved,USB,T2/C/S2,11;1;1;18989,00;0,000;0,000;8806086772112
1098269;UE40JU6472UXX;SAMSUNG 40'LED,UHD,T2/C/S2,900HZ PQI,SMA;1;0,000;15989,00;0,000;0,000;8806086772563
1103605;UE40JU6072UXX;"Samsung 40""LED,UHD,T2/S2,SMART,USB";3;1;11489,00;0,000;0,000;8806086782371
1102753;UE40J6272SUXX;SAMSUNG40'LED,FHD,PQI 600,SM,DVB-T2/C/S2;8;0,000;12489,00;0,000;0,000;8806088015286
1114922;UE40J5502;UE40J5502;0,000;0,000;10989,00;0,000;0,000;8806086631822
1099519;UE40J5100AWXB;"SAMSUNG 40""LED,FHD,T/C,PQI900";4;1;8989,00;0,000;0,000;8806086979641
1108121;UE40J5000AWXB;"Samsung 40""LED,FHD,200PQI,USB";1;0,000;8497,00;0,000;0,000;8806088082295
1073452;UE40H6470SSXX;SAMSUNG 40'LED,FHD,400HZ,SMART,DVB-T/C/S;5;2;13989,00;0,000;0,000;8806085989313
1098274;UE32J5572SUXX;"SAMSUNG 32""LED,FHD,BT,T2/C/S2,Wifi,Smart";1;0,000;8989,00;0,000;0,000;8806086876131
1099520;UE32J5502AKXX;"SAMSUNG 32""LED,FHD,400HZPQI,T/C,WIIFI";3;1;8499,00;0,000;0,000;8806086631792
